loss,grad_norm,learning_rate,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9124,3.8493266105651855,4.8933333333333335e-05,0.02666666666666667,10,,,,,
0.8466,4.8990983963012695,4.773333333333333e-05,0.05333333333333334,20,,,,,
0.756,7.720662593841553,4.64e-05,0.08,30,,,,,
0.7578,9.196104049682617,4.5066666666666667e-05,0.10666666666666667,40,,,,,
0.7167,6.01334285736084,4.373333333333334e-05,0.13333333333333333,50,,,,,
0.7509,5.900867462158203,4.24e-05,0.16,60,,,,,
0.7773,5.691091537475586,4.106666666666667e-05,0.18666666666666668,70,,,,,
0.686,4.120363235473633,3.9733333333333335e-05,0.21333333333333335,80,,,,,
0.7014,6.7819719314575195,3.8400000000000005e-05,0.24,90,,,,,
0.6291,8.150191307067871,3.706666666666667e-05,0.26666666666666666,100,,,,,
0.6938,5.651878356933594,3.573333333333333e-05,0.29333333333333333,110,,,,,
0.6312,10.131705284118652,3.4399999999999996e-05,0.32,120,,,,,
0.6019,3.977290391921997,3.3066666666666666e-05,0.3466666666666667,130,,,,,
0.531,2.0482962131500244,3.173333333333334e-05,0.37333333333333335,140,,,,,
0.6137,7.726986885070801,3.04e-05,0.4,150,,,,,
0.6153,8.90161418914795,2.906666666666667e-05,0.4266666666666667,160,,,,,
0.5593,3.5785958766937256,2.7733333333333334e-05,0.4533333333333333,170,,,,,
0.5583,2.950232744216919,2.64e-05,0.48,180,,,,,
0.5265,6.413177967071533,2.5066666666666665e-05,0.5066666666666667,190,,,,,
0.5248,5.4580607414245605,2.3733333333333335e-05,0.5333333333333333,200,,,,,
0.5478,5.282763957977295,2.2400000000000002e-05,0.56,210,,,,,
0.5387,6.795681476593018,2.106666666666667e-05,0.5866666666666667,220,,,,,
0.4631,8.633415222167969,1.9733333333333333e-05,0.6133333333333333,230,,,,,
0.4477,4.037980079650879,1.84e-05,0.64,240,,,,,
0.5069,5.463258266448975,1.7066666666666667e-05,0.6666666666666666,250,,,,,
0.4222,5.674948692321777,1.5733333333333334e-05,0.6933333333333334,260,,,,,
0.4625,6.903269290924072,1.44e-05,0.72,270,,,,,
0.5932,5.598164081573486,1.3066666666666666e-05,0.7466666666666667,280,,,,,
0.4175,6.546810626983643,1.1733333333333333e-05,0.7733333333333333,290,,,,,
0.447,4.296113014221191,1.04e-05,0.8,300,,,,,
0.5055,8.626466751098633,9.066666666666667e-06,0.8266666666666667,310,,,,,
0.446,5.656599998474121,7.733333333333334e-06,0.8533333333333334,320,,,,,
0.4349,8.19032096862793,6.4000000000000006e-06,0.88,330,,,,,
0.4572,6.684792518615723,5.066666666666667e-06,0.9066666666666666,340,,,,,
0.4627,4.908992290496826,3.7333333333333337e-06,0.9333333333333333,350,,,,,
0.4936,1.5183509588241577,2.4000000000000003e-06,0.96,360,,,,,
0.4234,5.695112705230713,1.0666666666666667e-06,0.9866666666666667,370,,,,,
,,,1.0,375,453.2359,6.619,0.827,0.0,0.5783764101664225
