step,mean_reward,kl
0,0.35519981384277344,0.0199968
1,0.8953800201416016,0.019993600511999998
2,1.20867919921875,0.01999040153591808
3,1.15673828125,0.01998720307167233
4,1.204345703125,0.01998409125126978
5,1.93072509765625,0.01998379492243052
6,1.25164794921875,0.01998059751524293
7,1.311859130859375,0.01997740061964049
8,0.3260231018066406,0.01997420423554135
9,1.298065185546875,0.01997100836286366
10,0.42412567138671875,0.019967813001525603
11,0.8254804611206055,0.01996461815144536
12,1.36181640625,0.019961423812541127
13,1.02484130859375,0.01995822998473112
14,1.453857421875,0.01995503666793356
15,1.62744140625,0.019951843862066693
16,1.133575439453125,0.01994865156704876
17,1.247711181640625,0.01994545978279803
18,0.5741119384765625,0.01994226850923278
19,0.8896942138671875,0.0199390777462713
20,0.77777099609375,0.0199358874938319
21,1.61578369140625,0.019932697751832883
22,1.4473628997802734,0.01992950852019259
23,1.512359619140625,0.019926319798829358
24,0.1650986671447754,0.019923131587661545
25,0.5111160278320312,0.01991994388660752
26,1.5424880981445312,0.01991675669558566
27,0.9369888305664062,0.019913570014514364
28,1.23455810546875,0.019910383843312042
29,1.0462799072265625,0.01990719818189711
30,0.4409904479980469,0.019904013030188007
31,0.680938720703125,0.019900828388103177
32,1.99261474609375,0.01989764425556108
33,0.985107421875,0.01989446063248019
34,1.66387939453125,0.01989127751877899
35,0.9296417236328125,0.019888094914375987
36,0.7236251831054688,0.019884912819189686
37,1.0118255615234375,0.019881731233138616
38,1.971435546875,0.019878550156141313
39,1.371826171875,0.01987536958811633
40,0.52001953125,0.01987218952898223
41,1.96099853515625,0.019869009978657592
42,1.596343994140625,0.019865830937061006
43,1.3438568115234375,0.019862652404111076
44,1.2926025390625,0.019859474379726415
45,0.739532470703125,0.01985629686382566
46,0.4644775390625,0.019853119856327445
47,1.1143798828125,0.019849943357150433
48,1.415557861328125,0.019846767366213287
49,0.030548095703125,0.01984359188343469
50,0.87322998046875,0.01984041690873334
51,1.441925048828125,0.019837242442027943
52,1.247711181640625,0.019834068483237217
53,1.58721923828125,0.0198308950322799
54,1.6836395263671875,0.019827722089074733
55,1.565185546875,0.01982454965354048
56,1.4414501190185547,0.01982137772559591
57,1.074615478515625,0.019818206305159815
58,1.127197265625,0.01981503539215099
59,0.7898868322372437,0.019811864986488244
60,0.3664741516113281,0.019808695088090404
61,0.775543212890625,0.019805525696876308
62,0.9718780517578125,0.019802356812764807
63,0.647186279296875,0.019799188435674762
64,0.771514892578125,0.019796020565525055
65,0.8416748046875,0.01979285320223457
66,-0.219818115234375,0.01978968634572221
67,1.127838134765625,0.01978651999590689
68,1.259490966796875,0.019783354152707544
69,0.83709716796875,0.01978018881604311
70,1.3788833618164062,0.019777023985832542
71,1.70855712890625,0.019773859661994807
72,0.390411376953125,0.019770695844448887
73,1.3292956352233887,0.019767532533113773
74,1.143829345703125,0.019764369727908473
75,0.221893310546875,0.019761207428752006
76,0.71990966796875,0.019758045635563406
77,1.178741455078125,0.019754884348261715
78,1.46453857421875,0.01975172356676599
79,1.1740570068359375,0.019748563290995308
80,1.3892822265625,0.01974540352086875
81,1.114532470703125,0.01974224425630541
82,1.41864013671875,0.0197390854972244
83,0.8209476470947266,0.019735927243544844
84,1.4728240966796875,0.019732769495185876
85,0.34234619140625,0.019729612252066646
86,1.72430419921875,0.019726455514106313
87,1.49774169921875,0.019723299281224054
88,0.10407257080078125,0.019720143553339058
89,0.879058837890625,0.019716988330370524
90,0.7675323486328125,0.019713833612237663
91,0.9400711059570312,0.019710679398859704
92,1.246795654296875,0.019707525690155884
93,0.924346923828125,0.01970437248604546
94,0.8933334350585938,0.01970121978644769
95,1.1099090576171875,0.019698067591281856
96,1.3993492126464844,0.01969491590046725
97,1.615692138671875,0.019691764713923175
98,0.9263458251953125,0.019688614031568945
99,0.21197509765625,0.019685463853323894
